ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
abrahammonpa-MonpaKalaktang-concepts,abrahammonpa-MonpaKalaktang,concepts,301,,,
abrahammonpa-MonpaKalaktang-forms,abrahammonpa-MonpaKalaktang,forms,324,,,
abrahammonpa-MonpaKalaktang-senses,abrahammonpa-MonpaKalaktang,senses,303,,,
abrahammonpa-MonpaKalaktang-NeckAndSun,abrahammonpa-MonpaKalaktang,NeckAndSun,True,NeckAndSun-True,,
abrahammonpa-MonpaBalemu-concepts,abrahammonpa-MonpaBalemu,concepts,302,,,
abrahammonpa-MonpaBalemu-forms,abrahammonpa-MonpaBalemu,forms,311,,,
abrahammonpa-MonpaBalemu-senses,abrahammonpa-MonpaBalemu,senses,304,,,
abrahammonpa-MonpaTomko-concepts,abrahammonpa-MonpaTomko,concepts,298,,,
abrahammonpa-MonpaTomko-forms,abrahammonpa-MonpaTomko,forms,303,,,
abrahammonpa-MonpaTomko-senses,abrahammonpa-MonpaTomko,senses,300,,,
abrahammonpa-MonpaNamsu-concepts,abrahammonpa-MonpaNamsu,concepts,301,,,
abrahammonpa-MonpaNamsu-forms,abrahammonpa-MonpaNamsu,forms,312,,,
abrahammonpa-MonpaNamsu-senses,abrahammonpa-MonpaNamsu,senses,303,,,
abrahammonpa-MonpaTembang-concepts,abrahammonpa-MonpaTembang,concepts,297,,,
abrahammonpa-MonpaTembang-forms,abrahammonpa-MonpaTembang,forms,308,,,
abrahammonpa-MonpaTembang-senses,abrahammonpa-MonpaTembang,senses,299,,,
abrahammonpa-MonpaDirangDum-concepts,abrahammonpa-MonpaDirangDum,concepts,292,,,
abrahammonpa-MonpaDirangDum-forms,abrahammonpa-MonpaDirangDum,forms,301,,,
abrahammonpa-MonpaDirangDum-senses,abrahammonpa-MonpaDirangDum,senses,294,,,
abrahammonpa-MonpaSangti-concepts,abrahammonpa-MonpaSangti,concepts,303,,,
abrahammonpa-MonpaSangti-forms,abrahammonpa-MonpaSangti,forms,307,,,
abrahammonpa-MonpaSangti-senses,abrahammonpa-MonpaSangti,senses,305,,,
abrahammonpa-MonpaDirang-concepts,abrahammonpa-MonpaDirang,concepts,301,,,
abrahammonpa-MonpaDirang-forms,abrahammonpa-MonpaDirang,forms,319,,,
abrahammonpa-MonpaDirang-senses,abrahammonpa-MonpaDirang,senses,303,,,
abrahammonpa-MonpaTawangMonastery-concepts,abrahammonpa-MonpaTawangMonastery,concepts,298,,,
abrahammonpa-MonpaTawangMonastery-forms,abrahammonpa-MonpaTawangMonastery,forms,304,,,
abrahammonpa-MonpaTawangMonastery-senses,abrahammonpa-MonpaTawangMonastery,senses,300,,,
abrahammonpa-MonpaTawangMonastery-HandAndMountain,abrahammonpa-MonpaTawangMonastery,HandAndMountain,True,HandAndMountain-True,,
abrahammonpa-MonpaZimithang-concepts,abrahammonpa-MonpaZimithang,concepts,299,,,
abrahammonpa-MonpaZimithang-forms,abrahammonpa-MonpaZimithang,forms,305,,,
abrahammonpa-MonpaZimithang-senses,abrahammonpa-MonpaZimithang,senses,301,,,
abrahammonpa-MonpaZimithang-HandAndMountain,abrahammonpa-MonpaZimithang,HandAndMountain,True,HandAndMountain-True,,
abrahammonpa-MonpaChangprong-concepts,abrahammonpa-MonpaChangprong,concepts,300,,,
abrahammonpa-MonpaChangprong-forms,abrahammonpa-MonpaChangprong,forms,316,,,
abrahammonpa-MonpaChangprong-senses,abrahammonpa-MonpaChangprong,senses,302,,,
abrahammonpa-MonpaChangprong-HandAndMountain,abrahammonpa-MonpaChangprong,HandAndMountain,True,HandAndMountain-True,,
abrahammonpa-MijiNafra-concepts,abrahammonpa-MijiNafra,concepts,295,,,
abrahammonpa-MijiNafra-forms,abrahammonpa-MijiNafra,forms,299,,,
abrahammonpa-MijiNafra-senses,abrahammonpa-MijiNafra,senses,297,,,
abrahammonpa-HrusoAkaJamiri-concepts,abrahammonpa-HrusoAkaJamiri,concepts,296,,,
abrahammonpa-HrusoAkaJamiri-forms,abrahammonpa-HrusoAkaJamiri,forms,305,,,
abrahammonpa-HrusoAkaJamiri-senses,abrahammonpa-HrusoAkaJamiri,senses,298,,,
abrahammonpa-NamreiNabolang-concepts,abrahammonpa-NamreiNabolang,concepts,300,,,
abrahammonpa-NamreiNabolang-forms,abrahammonpa-NamreiNabolang,forms,322,,,
abrahammonpa-NamreiNabolang-senses,abrahammonpa-NamreiNabolang,senses,302,,,
abrahammonpa-NamreiBisai-concepts,abrahammonpa-NamreiBisai,concepts,295,,,
abrahammonpa-NamreiBisai-forms,abrahammonpa-NamreiBisai,forms,301,,,
abrahammonpa-NamreiBisai-senses,abrahammonpa-NamreiBisai,senses,297,,,
abrahammonpa-DammaiRurang-concepts,abrahammonpa-DammaiRurang,concepts,299,,,
abrahammonpa-DammaiRurang-forms,abrahammonpa-DammaiRurang,forms,303,,,
abrahammonpa-DammaiRurang-senses,abrahammonpa-DammaiRurang,senses,301,,,
abrahammonpa-DammaiDibin-concepts,abrahammonpa-DammaiDibin,concepts,299,,,
abrahammonpa-DammaiDibin-forms,abrahammonpa-DammaiDibin,forms,306,,,
abrahammonpa-DammaiDibin-senses,abrahammonpa-DammaiDibin,senses,301,,,
abrahammonpa-DammaiDibin-EarAndSun,abrahammonpa-DammaiDibin,EarAndSun,True,EarAndSun-True,,
allenbai-Eryuan-concepts,allenbai-Eryuan,concepts,497,,,
allenbai-Eryuan-forms,allenbai-Eryuan,forms,503,,,
allenbai-Eryuan-senses,allenbai-Eryuan,senses,497,,,
allenbai-Eryuan-HeartAndFirewood,allenbai-Eryuan,HeartAndFirewood,True,HeartAndFirewood-True,,
allenbai-Heqing-concepts,allenbai-Heqing,concepts,499,,,
allenbai-Heqing-forms,allenbai-Heqing,forms,502,,,
allenbai-Heqing-senses,allenbai-Heqing,senses,499,,,
allenbai-Heqing-BellyAndPen,allenbai-Heqing,BellyAndPen,True,BellyAndPen-True,,
allenbai-Heqing-HeartAndFirewood,allenbai-Heqing,HeartAndFirewood,True,HeartAndFirewood-True,,
allenbai-Jianchuan-concepts,allenbai-Jianchuan,concepts,499,,,
allenbai-Jianchuan-forms,allenbai-Jianchuan,forms,513,,,
allenbai-Jianchuan-senses,allenbai-Jianchuan,senses,499,,,
allenbai-Jianchuan-BellyAndPen,allenbai-Jianchuan,BellyAndPen,True,BellyAndPen-True,,
allenbai-Jianchuan-HeartAndFirewood,allenbai-Jianchuan,HeartAndFirewood,True,HeartAndFirewood-True,,
allenbai-Lanping-concepts,allenbai-Lanping,concepts,498,,,
allenbai-Lanping-forms,allenbai-Lanping,forms,512,,,
allenbai-Lanping-senses,allenbai-Lanping,senses,498,,,
allenbai-Lanping-HeartAndFirewood,allenbai-Lanping,HeartAndFirewood,True,HeartAndFirewood-True,,
allenbai-Luobenzhuo-concepts,allenbai-Luobenzhuo,concepts,498,,,
allenbai-Luobenzhuo-forms,allenbai-Luobenzhuo,forms,500,,,
allenbai-Luobenzhuo-senses,allenbai-Luobenzhuo,senses,498,,,
allenbai-Qiliqiao-concepts,allenbai-Qiliqiao,concepts,499,,,
allenbai-Qiliqiao-forms,allenbai-Qiliqiao,forms,507,,,
allenbai-Qiliqiao-senses,allenbai-Qiliqiao,senses,499,,,
allenbai-Qiliqiao-BellyAndPen,allenbai-Qiliqiao,BellyAndPen,True,BellyAndPen-True,,
allenbai-Qiliqiao-HeartAndFirewood,allenbai-Qiliqiao,HeartAndFirewood,True,HeartAndFirewood-True,,
allenbai-Qiliqiao-IntestinesAndBed,allenbai-Qiliqiao,IntestinesAndBed,True,IntestinesAndBed-True,,
allenbai-Xiangyun-concepts,allenbai-Xiangyun,concepts,498,,,
allenbai-Xiangyun-forms,allenbai-Xiangyun,forms,505,,,
allenbai-Xiangyun-senses,allenbai-Xiangyun,senses,498,,,
allenbai-Xiangyun-BellyAndPen,allenbai-Xiangyun,BellyAndPen,True,BellyAndPen-True,,
allenbai-Xiangyun-HeartAndFirewood,allenbai-Xiangyun,HeartAndFirewood,True,HeartAndFirewood-True,,
allenbai-Yunlong-concepts,allenbai-Yunlong,concepts,499,,,
allenbai-Yunlong-forms,allenbai-Yunlong,forms,503,,,
allenbai-Yunlong-senses,allenbai-Yunlong,senses,499,,,
allenbai-Yunlong-HeartAndFirewood,allenbai-Yunlong,HeartAndFirewood,True,HeartAndFirewood-True,,
allenbai-Zhoucheng-concepts,allenbai-Zhoucheng,concepts,497,,,
allenbai-Zhoucheng-forms,allenbai-Zhoucheng,forms,501,,,
allenbai-Zhoucheng-senses,allenbai-Zhoucheng,senses,497,,,
allenbai-Zhoucheng-BellyAndPen,allenbai-Zhoucheng,BellyAndPen,True,BellyAndPen-True,,
allenbai-Zhoucheng-IntestinesAndBed,allenbai-Zhoucheng,IntestinesAndBed,True,IntestinesAndBed-True,,
bantubvd-1-concepts,bantubvd-1,concepts,387,,,
bantubvd-1-forms,bantubvd-1,forms,466,,,
bantubvd-1-senses,bantubvd-1,senses,399,,,
bantubvd-1-FaceAndKnife,bantubvd-1,FaceAndKnife,True,FaceAndKnife-True,,
bantubvd-1-LegAndAnthill,bantubvd-1,LegAndAnthill,True,LegAndAnthill-True,,
bantubvd-2-concepts,bantubvd-2,concepts,383,,,
bantubvd-2-forms,bantubvd-2,forms,433,,,
bantubvd-2-senses,bantubvd-2,senses,390,,,
bantubvd-3-concepts,bantubvd-3,concepts,358,,,
bantubvd-3-forms,bantubvd-3,forms,386,,,
bantubvd-3-senses,bantubvd-3,senses,365,,,
bantubvd-3-LiverAndRiver,bantubvd-3,LiverAndRiver,True,LiverAndRiver-True,,
bantubvd-4-concepts,bantubvd-4,concepts,378,,,
bantubvd-4-forms,bantubvd-4,forms,412,,,
bantubvd-4-senses,bantubvd-4,senses,388,,,
bantubvd-4-LegAndAnthill,bantubvd-4,LegAndAnthill,True,LegAndAnthill-True,,
bantubvd-4-LegAndSky,bantubvd-4,LegAndSky,True,LegAndSky-True,,
bantubvd-4-VeinAndPath,bantubvd-4,VeinAndPath,True,VeinAndPath-True,,
bantubvd-5-concepts,bantubvd-5,concepts,378,,,
bantubvd-5-forms,bantubvd-5,forms,405,,,
bantubvd-5-senses,bantubvd-5,senses,387,,,
bantubvd-5-KneeAndBed,bantubvd-5,KneeAndBed,True,KneeAndBed-True,,
bantubvd-5-VeinAndRoot,bantubvd-5,VeinAndRoot,True,VeinAndRoot-True,,
bantubvd-6-concepts,bantubvd-6,concepts,405,,,
bantubvd-6-forms,bantubvd-6,forms,492,,,
bantubvd-6-senses,bantubvd-6,senses,415,,,
bantubvd-6-NoseAndKnife,bantubvd-6,NoseAndKnife,True,NoseAndKnife-True,,
bantubvd-7-concepts,bantubvd-7,concepts,381,,,
bantubvd-7-forms,bantubvd-7,forms,436,,,
bantubvd-7-senses,bantubvd-7,senses,390,,,
bantubvd-7-LegAndAnthill,bantubvd-7,LegAndAnthill,True,LegAndAnthill-True,,
bantubvd-8-concepts,bantubvd-8,concepts,352,,,
