ID,Parameter_ID,Name,Description
SkinAndLeather-true,SkinAndLeather,colexifies SKIN and LEATHER,
SkinAndLeather-false,SkinAndLeather,does not colexify SKIN and LEATHER,
SkinAndLeather-null,SkinAndLeather,missing data,
SkinAndBark-true,SkinAndBark,colexifies SKIN and BARK,
SkinAndBark-false,SkinAndBark,does not colexify SKIN and BARK,
SkinAndBark-null,SkinAndBark,missing data,
NeckAndCollar-true,NeckAndCollar,colexifies NECK and COLLAR,
NeckAndCollar-false,NeckAndCollar,does not colexify NECK and COLLAR,
NeckAndCollar-null,NeckAndCollar,missing data,
TesticlesAndEgg-true,TesticlesAndEgg,colexifies TESTICLES and EGG,
TesticlesAndEgg-false,TesticlesAndEgg,does not colexify TESTICLES and EGG,
TesticlesAndEgg-null,TesticlesAndEgg,missing data,
HeadAndTop-true,HeadAndTop,colexifies HEAD and TOP,
HeadAndTop-false,HeadAndTop,does not colexify HEAD and TOP,
HeadAndTop-null,HeadAndTop,missing data,
ButtocksAndBottom-true,ButtocksAndBottom,colexifies BUTTOCKS and BOTTOM,
ButtocksAndBottom-false,ButtocksAndBottom,does not colexify BUTTOCKS and BOTTOM,
ButtocksAndBottom-null,ButtocksAndBottom,missing data,
MouthAndEdge-true,MouthAndEdge,colexifies MOUTH and EDGE,
MouthAndEdge-false,MouthAndEdge,does not colexify MOUTH and EDGE,
MouthAndEdge-null,MouthAndEdge,missing data,
LipAndEdge-true,LipAndEdge,colexifies LIP and EDGE,
LipAndEdge-false,LipAndEdge,does not colexify LIP and EDGE,
LipAndEdge-null,LipAndEdge,missing data,
SkinAndShell-true,SkinAndShell,colexifies SKIN and SHELL,
SkinAndShell-false,SkinAndShell,does not colexify SKIN and SHELL,
SkinAndShell-null,SkinAndShell,missing data,
IntestinesAndSausage-true,IntestinesAndSausage,colexifies INTESTINES and SAUSAGE,
IntestinesAndSausage-false,IntestinesAndSausage,does not colexify INTESTINES and SAUSAGE,
IntestinesAndSausage-null,IntestinesAndSausage,missing data,
BodyAndTreetrunk-true,BodyAndTreetrunk,colexifies BODY and TREE TRUNK,
BodyAndTreetrunk-false,BodyAndTreetrunk,does not colexify BODY and TREE TRUNK,
BodyAndTreetrunk-null,BodyAndTreetrunk,missing data,
FingernailAndNailtool-true,FingernailAndNailtool,colexifies FINGERNAIL and NAIL (TOOL),
FingernailAndNailtool-false,FingernailAndNailtool,does not colexify FINGERNAIL and NAIL (TOOL),
FingernailAndNailtool-null,FingernailAndNailtool,missing data,
NoseAndCape-true,NoseAndCape,colexifies NOSE and CAPE,
NoseAndCape-false,NoseAndCape,does not colexify NOSE and CAPE,
NoseAndCape-null,NoseAndCape,missing data,
EyeAndSeed-true,EyeAndSeed,colexifies EYE and SEED,
EyeAndSeed-false,EyeAndSeed,does not colexify EYE and SEED,
EyeAndSeed-null,EyeAndSeed,missing data,
HeartAndFirewood-true,HeartAndFirewood,colexifies HEART and FIREWOOD,
HeartAndFirewood-false,HeartAndFirewood,does not colexify HEART and FIREWOOD,
HeartAndFirewood-null,HeartAndFirewood,missing data,
BloodvesselAndRoot-true,BloodvesselAndRoot,colexifies BLOOD VESSEL and ROOT,
BloodvesselAndRoot-false,BloodvesselAndRoot,does not colexify BLOOD VESSEL and ROOT,
BloodvesselAndRoot-null,BloodvesselAndRoot,missing data,
ThroatAndCollar-true,ThroatAndCollar,colexifies THROAT and COLLAR,
ThroatAndCollar-false,ThroatAndCollar,does not colexify THROAT and COLLAR,
ThroatAndCollar-null,ThroatAndCollar,missing data,
ShoulderbladeAndSpade-true,ShoulderbladeAndSpade,colexifies SHOULDERBLADE and SPADE,
ShoulderbladeAndSpade-false,ShoulderbladeAndSpade,does not colexify SHOULDERBLADE and SPADE,
ShoulderbladeAndSpade-null,ShoulderbladeAndSpade,missing data,
HairheadAndLeaf-true,HairheadAndLeaf,colexifies HAIR (HEAD) and LEAF,
HairheadAndLeaf-false,HairheadAndLeaf,does not colexify HAIR (HEAD) and LEAF,
HairheadAndLeaf-null,HairheadAndLeaf,missing data,
SkinAndSkinoffruit-true,SkinAndSkinoffruit,colexifies SKIN and SKIN (OF FRUIT),
SkinAndSkinoffruit-false,SkinAndSkinoffruit,does not colexify SKIN and SKIN (OF FRUIT),
SkinAndSkinoffruit-null,SkinAndSkinoffruit,missing data,
EarAndLeaf-true,EarAndLeaf,colexifies EAR and LEAF,
EarAndLeaf-false,EarAndLeaf,does not colexify EAR and LEAF,
EarAndLeaf-null,EarAndLeaf,missing data,
BoneAndRope-true,BoneAndRope,colexifies BONE and ROPE,
BoneAndRope-false,BoneAndRope,does not colexify BONE and ROPE,
BoneAndRope-null,BoneAndRope,missing data,
WaistAndSpade-true,WaistAndSpade,colexifies WAIST and SPADE,
WaistAndSpade-false,WaistAndSpade,does not colexify WAIST and SPADE,
WaistAndSpade-null,WaistAndSpade,missing data,
ShoulderbladeAndPaddle-true,ShoulderbladeAndPaddle,colexifies SHOULDERBLADE and PADDLE,
ShoulderbladeAndPaddle-false,ShoulderbladeAndPaddle,does not colexify SHOULDERBLADE and PADDLE,
ShoulderbladeAndPaddle-null,ShoulderbladeAndPaddle,missing data,
WaistAndBelt-true,WaistAndBelt,colexifies WAIST and BELT,
WaistAndBelt-false,WaistAndBelt,does not colexify WAIST and BELT,
WaistAndBelt-null,WaistAndBelt,missing data,
FootAndWheel-true,FootAndWheel,colexifies FOOT and WHEEL,
FootAndWheel-false,FootAndWheel,does not colexify FOOT and WHEEL,
FootAndWheel-null,FootAndWheel,missing data,
ArmAndBranch-true,ArmAndBranch,colexifies ARM and BRANCH,
ArmAndBranch-false,ArmAndBranch,does not colexify ARM and BRANCH,
ArmAndBranch-null,ArmAndBranch,missing data,
TesticlesAndSeed-true,TesticlesAndSeed,colexifies TESTICLES and SEED,
TesticlesAndSeed-false,TesticlesAndSeed,does not colexify TESTICLES and SEED,
TesticlesAndSeed-null,TesticlesAndSeed,missing data,
RibAndShore-true,RibAndShore,colexifies RIB and SHORE,
RibAndShore-false,RibAndShore,does not colexify RIB and SHORE,
RibAndShore-null,RibAndShore,missing data,
VeinAndRoot-true,VeinAndRoot,colexifies VEIN and ROOT,
VeinAndRoot-false,VeinAndRoot,does not colexify VEIN and ROOT,
VeinAndRoot-null,VeinAndRoot,missing data,
TendonAndRoot-true,TendonAndRoot,colexifies TENDON and ROOT,
TendonAndRoot-false,TendonAndRoot,does not colexify TENDON and ROOT,
TendonAndRoot-null,TendonAndRoot,missing data,
SkinAndBook-true,SkinAndBook,colexifies SKIN and BOOK,
SkinAndBook-false,SkinAndBook,does not colexify SKIN and BOOK,
SkinAndBook-null,SkinAndBook,missing data,
EyeAndWheel-true,EyeAndWheel,colexifies EYE and WHEEL,
EyeAndWheel-false,EyeAndWheel,does not colexify EYE and WHEEL,
EyeAndWheel-null,EyeAndWheel,missing data,
MouthAndHole-true,MouthAndHole,colexifies MOUTH and HOLE,
MouthAndHole-false,MouthAndHole,does not colexify MOUTH and HOLE,
MouthAndHole-null,MouthAndHole,missing data,
TesticlesAndBall-true,TesticlesAndBall,colexifies TESTICLES and BALL,
TesticlesAndBall-false,TesticlesAndBall,does not colexify TESTICLES and BALL,
TesticlesAndBall-null,TesticlesAndBall,missing data,
ShoulderbladeAndOar-true,ShoulderbladeAndOar,colexifies SHOULDERBLADE and OAR,
ShoulderbladeAndOar-false,ShoulderbladeAndOar,does not colexify SHOULDERBLADE and OAR,
ShoulderbladeAndOar-null,ShoulderbladeAndOar,missing data,
HeadAndRoof-true,HeadAndRoof,colexifies HEAD and ROOF,
HeadAndRoof-false,HeadAndRoof,does not colexify HEAD and ROOF,
HeadAndRoof-null,HeadAndRoof,missing data,
AnkleAndKnot-true,AnkleAndKnot,colexifies ANKLE and KNOT,
AnkleAndKnot-false,AnkleAndKnot,does not colexify ANKLE and KNOT,
AnkleAndKnot-null,AnkleAndKnot,missing data,
SkullAndTop-true,SkullAndTop,colexifies SKULL and TOP,
SkullAndTop-false,SkullAndTop,does not colexify SKULL and TOP,
SkullAndTop-null,SkullAndTop,missing data,
ArmAndValley-true,ArmAndValley,colexifies ARM and VALLEY,
ArmAndValley-false,ArmAndValley,does not colexify ARM and VALLEY,
ArmAndValley-null,ArmAndValley,missing data,
HandAndValley-true,HandAndValley,colexifies HAND and VALLEY,
HandAndValley-false,HandAndValley,does not colexify HAND and VALLEY,
HandAndValley-null,HandAndValley,missing data,
TesticlesAndFruit-true,TesticlesAndFruit,colexifies TESTICLES and FRUIT,
TesticlesAndFruit-false,TesticlesAndFruit,does not colexify TESTICLES and FRUIT,
TesticlesAndFruit-null,TesticlesAndFruit,missing data,
NippleAndSeed-true,NippleAndSeed,colexifies NIPPLE and SEED,
NippleAndSeed-false,NippleAndSeed,does not colexify NIPPLE and SEED,
NippleAndSeed-null,NippleAndSeed,missing data,
BackAndRoof-true,BackAndRoof,colexifies BACK and ROOF,
BackAndRoof-false,BackAndRoof,does not colexify BACK and ROOF,
BackAndRoof-null,BackAndRoof,missing data,
EyeAndGrain-true,EyeAndGrain,colexifies EYE and GRAIN,
EyeAndGrain-false,EyeAndGrain,does not colexify EYE and GRAIN,
EyeAndGrain-null,EyeAndGrain,missing data,
HeadAndTipofobject-true,HeadAndTipofobject,colexifies HEAD and TIP (OF OBJECT),
HeadAndTipofobject-false,HeadAndTipofobject,does not colexify HEAD and TIP (OF OBJECT),
HeadAndTipofobject-null,HeadAndTipofobject,missing data,
LegAndSky-true,LegAndSky,colexifies LEG and SKY,
LegAndSky-false,LegAndSky,does not colexify LEG and SKY,
LegAndSky-null,LegAndSky,missing data,
EarAndEarring-true,EarAndEarring,colexifies EAR and EARRING,
EarAndEarring-false,EarAndEarring,does not colexify EAR and EARRING,
EarAndEarring-null,EarAndEarring,missing data,
SkinAndBasket-true,SkinAndBasket,colexifies SKIN and BASKET,
SkinAndBasket-false,SkinAndBasket,does not colexify SKIN and BASKET,
SkinAndBasket-null,SkinAndBasket,missing data,
EyeAndFire-true,EyeAndFire,colexifies EYE and FIRE,
EyeAndFire-false,EyeAndFire,does not colexify EYE and FIRE,
EyeAndFire-null,EyeAndFire,missing data,
ForeheadAndCape-true,ForeheadAndCape,colexifies FOREHEAD and CAPE,
ForeheadAndCape-false,ForeheadAndCape,does not colexify FOREHEAD and CAPE,
ForeheadAndCape-null,ForeheadAndCape,missing data,
RibAndSide-true,RibAndSide,colexifies RIB and SIDE,
RibAndSide-false,RibAndSide,does not colexify RIB and SIDE,
RibAndSide-null,RibAndSide,missing data,
ToothAndBead-true,ToothAndBead,colexifies TOOTH and BEAD,
ToothAndBead-false,ToothAndBead,does not colexify TOOTH and BEAD,
ToothAndBead-null,ToothAndBead,missing data,
TongueAndFlame-true,TongueAndFlame,colexifies TONGUE and FLAME,
TongueAndFlame-false,TongueAndFlame,does not colexify TONGUE and FLAME,
TongueAndFlame-null,TongueAndFlame,missing data,
FootAndCorner-true,FootAndCorner,colexifies FOOT and CORNER,
FootAndCorner-false,FootAndCorner,does not colexify FOOT and CORNER,
FootAndCorner-null,FootAndCorner,missing data,
FaceAndSide-true,FaceAndSide,colexifies FACE and SIDE,
FaceAndSide-false,FaceAndSide,does not colexify FACE and SIDE,
FaceAndSide-null,FaceAndSide,missing data,
HeadAndCape-true,HeadAndCape,colexifies HEAD and CAPE,
HeadAndCape-false,HeadAndCape,does not colexify HEAD and CAPE,
HeadAndCape-null,HeadAndCape,missing data,
FaceAndEdge-true,FaceAndEdge,colexifies FACE and EDGE,
FaceAndEdge-false,FaceAndEdge,does not colexify FACE and EDGE,
FaceAndEdge-null,FaceAndEdge,missing data,
BackAndBark-true,BackAndBark,colexifies BACK and BARK,
BackAndBark-false,BackAndBark,does not colexify BACK and BARK,
BackAndBark-null,BackAndBark,missing data,
EyeAndFruit-true,EyeAndFruit,colexifies EYE and FRUIT,
EyeAndFruit-false,EyeAndFruit,does not colexify EYE and FRUIT,
EyeAndFruit-null,EyeAndFruit,missing data,
BodyAndShell-true,BodyAndShell,colexifies BODY and SHELL,
BodyAndShell-false,BodyAndShell,does not colexify BODY and SHELL,
BodyAndShell-null,BodyAndShell,missing data,
BodyAndLeather-true,BodyAndLeather,colexifies BODY and LEATHER,
BodyAndLeather-false,BodyAndLeather,does not colexify BODY and LEATHER,
BodyAndLeather-null,BodyAndLeather,missing data,
MouthAndDoor-true,MouthAndDoor,colexifies MOUTH and DOOR,
MouthAndDoor-false,MouthAndDoor,does not colexify MOUTH and DOOR,
MouthAndDoor-null,MouthAndDoor,missing data,
ElbowAndCorner-true,ElbowAndCorner,colexifies ELBOW and CORNER,
ElbowAndCorner-false,ElbowAndCorner,does not colexify ELBOW and CORNER,
ElbowAndCorner-null,ElbowAndCorner,missing data,
HairAndLeaf-true,HairAndLeaf,colexifies HAIR and LEAF,
HairAndLeaf-false,HairAndLeaf,does not colexify HAIR and LEAF,
HairAndLeaf-null,HairAndLeaf,missing data,
HeadAndSummit-true,HeadAndSummit,colexifies HEAD and SUMMIT,
HeadAndSummit-false,HeadAndSummit,does not colexify HEAD and SUMMIT,
HeadAndSummit-null,HeadAndSummit,missing data,
SkinAndLoincloth-true,SkinAndLoincloth,colexifies SKIN and LOINCLOTH,
SkinAndLoincloth-false,SkinAndLoincloth,does not colexify SKIN and LOINCLOTH,
SkinAndLoincloth-null,SkinAndLoincloth,missing data,
BellyAndPen-true,BellyAndPen,colexifies BELLY and PEN,
BellyAndPen-false,BellyAndPen,does not colexify BELLY and PEN,
BellyAndPen-null,BellyAndPen,missing data,
BoneAndTree-true,BoneAndTree,colexifies BONE and TREE,
BoneAndTree-false,BoneAndTree,does not colexify BONE and TREE,
BoneAndTree-null,BoneAndTree,missing data,
ToothAndLeaf-true,ToothAndLeaf,colexifies TOOTH and LEAF,
ToothAndLeaf-false,ToothAndLeaf,does not colexify TOOTH and LEAF,
ToothAndLeaf-null,ToothAndLeaf,missing data,
HeelAndMortar-true,HeelAndMortar,colexifies HEEL and MORTAR,
HeelAndMortar-false,HeelAndMortar,does not colexify HEEL and MORTAR,
HeelAndMortar-null,HeelAndMortar,missing data,
HipAndSide-true,HipAndSide,colexifies HIP and SIDE,
HipAndSide-false,HipAndSide,does not colexify HIP and SIDE,
HipAndSide-null,HipAndSide,missing data,
LegAndCup-true,LegAndCup,colexifies LEG and CUP,
LegAndCup-false,LegAndCup,does not colexify LEG and CUP,
LegAndCup-null,LegAndCup,missing data,
NoseAndArrow-true,NoseAndArrow,colexifies NOSE and ARROW,
NoseAndArrow-false,NoseAndArrow,does not colexify NOSE and ARROW,
NoseAndArrow-null,NoseAndArrow,missing data,
HandAndBranch-true,HandAndBranch,colexifies HAND and BRANCH,
HandAndBranch-false,HandAndBranch,does not colexify HAND and BRANCH,
HandAndBranch-null,HandAndBranch,missing data,
PenisAndEgg-true,PenisAndEgg,colexifies PENIS and EGG,
PenisAndEgg-false,PenisAndEgg,does not colexify PENIS and EGG,
PenisAndEgg-null,PenisAndEgg,missing data,
LungAndLake-true,LungAndLake,colexifies LUNG and LAKE,
LungAndLake-false,LungAndLake,does not colexify LUNG and LAKE,
LungAndLake-null,LungAndLake,missing data,
BloodvesselAndThread-true,BloodvesselAndThread,colexifies BLOOD VESSEL and THREAD,
BloodvesselAndThread-false,BloodvesselAndThread,does not colexify BLOOD VESSEL and THREAD,
BloodvesselAndThread-null,BloodvesselAndThread,missing data,
BoneAndShell-true,BoneAndShell,colexifies BONE and SHELL,
BoneAndShell-false,BoneAndShell,does not colexify BONE and SHELL,
BoneAndShell-null,BoneAndShell,missing data,
LegAndTreetrunk-true,LegAndTreetrunk,colexifies LEG and TREE TRUNK,
LegAndTreetrunk-false,LegAndTreetrunk,does not colexify LEG and TREE TRUNK,
LegAndTreetrunk-null,LegAndTreetrunk,missing data,
PenisAndSeed-true,PenisAndSeed,colexifies PENIS and SEED,
PenisAndSeed-false,PenisAndSeed,does not colexify PENIS and SEED,
PenisAndSeed-null,PenisAndSeed,missing data,
LipAndShore-true,LipAndShore,colexifies LIP and SHORE,
LipAndShore-false,LipAndShore,does not colexify LIP and SHORE,
LipAndShore-null,LipAndShore,missing data,
FingerAndRing-true,FingerAndRing,colexifies FINGER and RING,
FingerAndRing-false,FingerAndRing,does not colexify FINGER and RING,
FingerAndRing-null,FingerAndRing,missing data,
BoneAndStick-true,BoneAndStick,colexifies BONE and STICK,
BoneAndStick-false,BoneAndStick,does not colexify BONE and STICK,
BoneAndStick-null,BoneAndStick,missing data,
EyeAndTree-true,EyeAndTree,colexifies EYE and TREE,
EyeAndTree-false,EyeAndTree,does not colexify EYE and TREE,
EyeAndTree-null,EyeAndTree,missing data,
BoneAndPlantstem-true,BoneAndPlantstem,colexifies BONE and PLANT STEM,
BoneAndPlantstem-false,BoneAndPlantstem,does not colexify BONE and PLANT STEM,
BoneAndPlantstem-null,BoneAndPlantstem,missing data,
HandAndMountain-true,HandAndMountain,colexifies HAND and MOUNTAIN,
HandAndMountain-false,HandAndMountain,does not colexify HAND and MOUNTAIN,
HandAndMountain-null,HandAndMountain,missing data,
IntestinesAndBed-true,IntestinesAndBed,colexifies INTESTINES and BED,
IntestinesAndBed-false,IntestinesAndBed,does not colexify INTESTINES and BED,
IntestinesAndBed-null,IntestinesAndBed,missing data,
SkinAndMushroom-true,SkinAndMushroom,colexifies SKIN and MUSHROOM,
SkinAndMushroom-false,SkinAndMushroom,does not colexify SKIN and MUSHROOM,
SkinAndMushroom-null,SkinAndMushroom,missing data,
ToothAndSproutshoot-true,ToothAndSproutshoot,colexifies TOOTH and SPROUT (SHOOT),
ToothAndSproutshoot-false,ToothAndSproutshoot,does not colexify TOOTH and SPROUT (SHOOT),
ToothAndSproutshoot-null,ToothAndSproutshoot,missing data,
TesticlesAndCheese-true,TesticlesAndCheese,colexifies TESTICLES and CHEESE,
TesticlesAndCheese-false,TesticlesAndCheese,does not colexify TESTICLES and CHEESE,
TesticlesAndCheese-null,TesticlesAndCheese,missing data,
NostrilAndHole-true,NostrilAndHole,colexifies NOSTRIL and HOLE,
NostrilAndHole-false,NostrilAndHole,does not colexify NOSTRIL and HOLE,
NostrilAndHole-null,NostrilAndHole,missing data,
NoseAndTop-true,NoseAndTop,colexifies NOSE and TOP,
NoseAndTop-false,NoseAndTop,does not colexify NOSE and TOP,
NoseAndTop-null,NoseAndTop,missing data,
ForeheadAndPan-true,ForeheadAndPan,colexifies FOREHEAD and PAN,
ForeheadAndPan-false,ForeheadAndPan,does not colexify FOREHEAD and PAN,
ForeheadAndPan-null,ForeheadAndPan,missing data,
LegAndBowl-true,LegAndBowl,colexifies LEG and BOWL,
LegAndBowl-false,LegAndBowl,does not colexify LEG and BOWL,
LegAndBowl-null,LegAndBowl,missing data,
TemplesAndTop-true,TemplesAndTop,colexifies TEMPLES and TOP,
TemplesAndTop-false,TemplesAndTop,does not colexify TEMPLES and TOP,
TemplesAndTop-null,TemplesAndTop,missing data,
NoseAndFlower-true,NoseAndFlower,colexifies NOSE and FLOWER,
NoseAndFlower-false,NoseAndFlower,does not colexify NOSE and FLOWER,
NoseAndFlower-null,NoseAndFlower,missing data,
BoneAndBowl-true,BoneAndBowl,colexifies BONE and BOWL,
BoneAndBowl-false,BoneAndBowl,does not colexify BONE and BOWL,
BoneAndBowl-null,BoneAndBowl,missing data,
BoneAndPlate-true,BoneAndPlate,colexifies BONE and PLATE,
BoneAndPlate-false,BoneAndPlate,does not colexify BONE and PLATE,
BoneAndPlate-null,BoneAndPlate,missing data,
ThroatAndNecklace-true,ThroatAndNecklace,colexifies THROAT and NECKLACE,
ThroatAndNecklace-false,ThroatAndNecklace,does not colexify THROAT and NECKLACE,
ThroatAndNecklace-null,ThroatAndNecklace,missing data,
