ID,Parameter_ID,Name,Description
AnkleAndKnot-False,AnkleAndKnot,False,does not colexify ANKLE and KNOT
AnkleAndKnot-None,AnkleAndKnot,None,missing value
AnkleAndKnot-True,AnkleAndKnot,True,colexifies ANKLE and KNOT
ArmAndBranch-False,ArmAndBranch,False,does not colexify ARM and BRANCH
ArmAndBranch-None,ArmAndBranch,None,missing value
ArmAndBranch-True,ArmAndBranch,True,colexifies ARM and BRANCH
ArmAndValley-False,ArmAndValley,False,does not colexify ARM and VALLEY
ArmAndValley-None,ArmAndValley,None,missing value
ArmAndValley-True,ArmAndValley,True,colexifies ARM and VALLEY
BackAndBark-False,BackAndBark,False,does not colexify BACK and BARK
BackAndBark-None,BackAndBark,None,missing value
BackAndBark-True,BackAndBark,True,colexifies BACK and BARK
BackAndRoof-False,BackAndRoof,False,does not colexify BACK and ROOF
BackAndRoof-None,BackAndRoof,None,missing value
BackAndRoof-True,BackAndRoof,True,colexifies BACK and ROOF
BellyAndPen-False,BellyAndPen,False,does not colexify BELLY and PEN
BellyAndPen-None,BellyAndPen,None,missing value
BellyAndPen-True,BellyAndPen,True,colexifies BELLY and PEN
BloodvesselAndRoot-False,BloodvesselAndRoot,False,does not colexify BLOOD VESSEL and ROOT
BloodvesselAndRoot-None,BloodvesselAndRoot,None,missing value
BloodvesselAndRoot-True,BloodvesselAndRoot,True,colexifies BLOOD VESSEL and ROOT
BloodvesselAndThread-False,BloodvesselAndThread,False,does not colexify BLOOD VESSEL and THREAD
BloodvesselAndThread-None,BloodvesselAndThread,None,missing value
BloodvesselAndThread-True,BloodvesselAndThread,True,colexifies BLOOD VESSEL and THREAD
BodyAndLeather-False,BodyAndLeather,False,does not colexify BODY and LEATHER
BodyAndLeather-None,BodyAndLeather,None,missing value
BodyAndLeather-True,BodyAndLeather,True,colexifies BODY and LEATHER
BodyAndShell-False,BodyAndShell,False,does not colexify BODY and SHELL
BodyAndShell-None,BodyAndShell,None,missing value
BodyAndShell-True,BodyAndShell,True,colexifies BODY and SHELL
BodyAndTreetrunk-False,BodyAndTreetrunk,False,does not colexify BODY and TREE TRUNK
BodyAndTreetrunk-None,BodyAndTreetrunk,None,missing value
BodyAndTreetrunk-True,BodyAndTreetrunk,True,colexifies BODY and TREE TRUNK
BoneAndBowl-False,BoneAndBowl,False,does not colexify BONE and BOWL
BoneAndBowl-None,BoneAndBowl,None,missing value
BoneAndBowl-True,BoneAndBowl,True,colexifies BONE and BOWL
BoneAndPlantstem-False,BoneAndPlantstem,False,does not colexify BONE and PLANT STEM
BoneAndPlantstem-None,BoneAndPlantstem,None,missing value
BoneAndPlantstem-True,BoneAndPlantstem,True,colexifies BONE and PLANT STEM
BoneAndPlate-False,BoneAndPlate,False,does not colexify BONE and PLATE
BoneAndPlate-None,BoneAndPlate,None,missing value
BoneAndPlate-True,BoneAndPlate,True,colexifies BONE and PLATE
BoneAndRope-False,BoneAndRope,False,does not colexify BONE and ROPE
BoneAndRope-None,BoneAndRope,None,missing value
BoneAndRope-True,BoneAndRope,True,colexifies BONE and ROPE
BoneAndShell-False,BoneAndShell,False,does not colexify BONE and SHELL
BoneAndShell-None,BoneAndShell,None,missing value
BoneAndShell-True,BoneAndShell,True,colexifies BONE and SHELL
BoneAndStick-False,BoneAndStick,False,does not colexify BONE and STICK
BoneAndStick-None,BoneAndStick,None,missing value
BoneAndStick-True,BoneAndStick,True,colexifies BONE and STICK
